front or back yard,yard upkeep and appearance,yard orderliness (placement of plants riverbed etc),features in the yard,features in the yard/bird feeder,features in the yard/water feature,features in the yard/front porch,features in the yard/cats,features in the yard/dogs,features in the yard/pet or animal waste,features in the yard/religious ornaments or statues,features in the yard/flagpole,features in the yard/cars in yard but not in the driveway,features in the yard/potted plants,features in the yard/play equipment,features in the yard/lawn ornaments,features in the yard/chairs or tables,features in the yard/landscaped rock or river bed,features in the yard/created yard topography,features in the yard/litter or refuse on the ground,features in the yard/vegetation litter like leaves,features in the yard/yard maintenance tools,features in the yard/light post,features in the yard/other,watering regimes,watering regimes/hand watering,watering regimes/drip or trickle,watering regimes/overhead spray,watering regimes/flood,watering regimes/not irrigated,predominant landscape type,describe the landscape,amount of grass,percent of weeds in non-grass or xeric areas,are there weeds in other areas of the yard such as flowerbeds or the driveway,evidence of tree pruning such as cut branches,evidence of shrub pruning such as shaped shrubs,estimate to the nearest 5 per cent,percent living grass,percent bare ground,percent dead or dormant grass,percent weeds,percent other,hip_parcel_composition_calc,total composition,estimate to the nearest 5 per cent,percent very green grass,percent moderately green grass,percent greenish-yellow grass,percent yellowish grass,percent brownish grass,hip_parcel_grass_color_calc,total composition,percent of weeds IN grass area,grass patchiness,rate the overall lawn color (including grass and weeds),overall lawn quality,lawn edges trimmed?,recently mowed?,grass height (cm),weed height (cm),notable comment about the yard,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
front,good,medium,potted plants flagpole landscaped rock or river bed vegetation litter like leaves,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,drip or trickle,0,1,0,0,0,mixed,,less than half,less than 10 percent,yes,yes,yes,,90,0,5,5,,100,100,,75,10,10,5,0,100,100,less than 10 percent,grass is contiguous without weedy or bare patches,little stress,"mixed grass and weeds, evenly distributed, and overall moderately green",yes,yes,4,3,,21,ESCA_parcel,11,242318555,397f6eec-030c-464d-8b3b-f1894b139a03,2023-05-30 23:38:41,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
rear,professionally maintained,highly structured or designed,water feature pet or animal waste chairs or tables vegetation litter like leaves,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,drip or trickle overhead spray,0,1,1,0,0,mixed,,less than half,less than 10 percent,yes,yes,yes,,80,5,10,5,,100,100,,15,30,30,15,10,100,100,less than 10 percent,there are patches of weeds or bare spots present,some stress,"mostly monoculture with few weeds, overall greenish-yellow yard",yes,no,5,20,,22,ESCA_parcel,12,242318670,c7eb0f79-c32d-4889-ab73-adc928afb373,2023-05-30 23:39:21,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
rear,professionally maintained,highly structured or designed,front porch potted plants landscaped rock or river bed vegetation litter like leaves,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,drip or trickle,0,1,0,0,0,xeric,,none,no grass area,yes,yes,yes,,,75,,5,20,100,100,,,,,,,,,,,,,,,,,,23,ESCA_parcel,12,242318670,c7eb0f79-c32d-4889-ab73-adc928afb373,2023-05-30 23:39:21,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
front,professionally maintained,highly structured or designed,potted plants,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,drip or trickle,0,1,0,0,0,xeric,,none,less than 10 percent,no,no,yes,,0,90,0,0,10,100,100,,,,,,,,,,,,,,,,,,24,ESCA_parcel,13,242612625,2cc9131d-e76f-4c33-8f5e-5c4847aff003,2023-05-31 21:54:46,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
rear,professionally maintained,medium,front porch potted plants chairs or tables,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,not irrigated,0,0,0,0,1,xeric,,none,less than 10 percent,no,veg type is not present,veg type is not present,,0,100,0,0,0,100,100,,,,,,,,,,,,,,,,,,25,ESCA_parcel,13,242612625,2cc9131d-e76f-4c33-8f5e-5c4847aff003,2023-05-31 21:54:46,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
front,professionally maintained,highly structured or designed,front porch chairs or tables potted plants vegetation litter like leaves litter or refuse on the ground,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,hand watering drip or trickle overhead spray,1,1,1,0,0,mesic,,about half,less than 10 percent,yes,yes,yes,,95,,5,,,100,100,,40,55,,5,,100,100,less than 10 percent,there are patches of weeds or bare spots present,little stress,"mostly monoculture with few weeds, overall greenish-yellow yard",yes,yes,6,15,,26,ESCA_parcel,14,242872237,c161652b-ec66-47cb-9a0f-b5f9cc72cc73,2023-06-01 21:11:57,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
rear,professionally maintained,highly structured or designed,water feature front porch potted plants chairs or tables vegetation litter like leaves yard maintenance tools landscaped rock or river bed created yard topography lawn ornaments bird feeder,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,hand watering drip or trickle overhead spray,1,1,1,0,0,mesic,,none,no grass area,yes,yes,yes,,0,50,,5,45,100,100,,,,,,,,,,,,,,,,,,27,ESCA_parcel,14,242872237,c161652b-ec66-47cb-9a0f-b5f9cc72cc73,2023-06-01 21:11:57,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
front,good,medium,potted plants landscaped rock or river bed litter or refuse on the ground vegetation litter like leaves,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,hand watering drip or trickle overhead spray,1,1,1,0,0,xeric,,none,10 to 25 percent,yes,yes,yes,,0,65,0,15,20,100,100,,,,,,,,,,,,,,,,,Only access to front yard; did not survey backyard ,28,ESCA_parcel,15,243103424,91b2b540-2c2a-434e-b276-edac9d26e10a,2023-06-02 20:13:44,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
front,good,medium,front porch landscaped rock or river bed litter or refuse on the ground vegetation litter like leaves lawn ornaments,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,drip or trickle overhead spray,0,1,1,0,0,xeric,,none,no grass area,yes,yes,yes,,0,85,0,5,10,100,100,,,,,,,,,,,,,,,,,,29,ESCA_parcel,16,243952854,e6ab794b-31bc-4562-af96-5b7fe475d3e1,2023-06-06 19:44:38,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
rear,good,lacking order or structure,water feature front porch potted plants play equipment landscaped rock or river bed vegetation litter like leaves pet or animal waste litter or refuse on the ground yard maintenance tools,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,hand watering overhead spray,1,0,1,0,0,xeric,,none,no grass area,yes,yes,yes,,5,95,5,5,,110,110,,,,,,,,,,,,,,,,,,30,ESCA_parcel,16,243952854,e6ab794b-31bc-4562-af96-5b7fe475d3e1,2023-06-06 19:44:38,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
front,good,highly structured or designed,front porch religious ornaments or statues potted plants lawn ornaments landscaped rock or river bed litter or refuse on the ground vegetation litter like leaves,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,drip or trickle,0,1,0,0,0,xeric,,none,less than 10 percent,no,yes,yes,,0,75,0,5,20,100,100,,,,,,,,,,,,,,,,,,31,ESCA_parcel,17,245354411,7b2d2d74-26a6-430a-8979-944b329b9f6f,2023-06-12 22:00:28,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
rear,good,highly structured or designed,front porch dogs pet or animal waste potted plants chairs or tables lawn ornaments litter or refuse on the ground vegetation litter like leaves yard maintenance tools,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,drip or trickle,0,1,0,0,0,mixed,,less than half,less than 10 percent,no,yes,yes,,15,75,0,5,5,100,100,,10,5,,,,15,15,less than 10 percent,there are patches of weeds or bare spots present,little stress,"monoculture with no patches or weeds, very green like a golf course",yes,yes,2,2,,32,ESCA_parcel,17,245354411,7b2d2d74-26a6-430a-8979-944b329b9f6f,2023-06-12 22:00:28,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
front,professionally maintained,highly structured or designed,litter or refuse on the ground vegetation litter like leaves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,drip or trickle overhead spray,0,1,1,0,0,mesic,,more than half,10 to 25 percent,no,yes,yes,,30,40,5,15,10,100,100,,10,50,25,5,10,100,100,10 to 25 percent,there are patches of weeds or bare spots present,some stress,"mostly monoculture with few weeds, overall greenish-yellow yard",yes,yes,,,,33,ESCA_parcel,18,246489904,33b25105-5501-4fc8-ad33-094734553056,2023-06-16 20:35:38,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
rear,professionally maintained,highly structured or designed,bird feeder water feature front porch dogs cats pet or animal waste religious ornaments or statues potted plants chairs or tables litter or refuse on the ground vegetation litter like leaves,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,hand watering drip or trickle overhead spray,1,1,1,0,0,mesic,,all or mostly grass,less than 10 percent,yes,yes,yes,,75,5,5,5,10,100,100,,85,10,5,,,100,100,less than 10 percent,grass is contiguous without weedy or bare patches,little stress,"mostly monoculture with few weeds, overall greenish-yellow yard",yes,yes,,,,34,ESCA_parcel,18,246489904,33b25105-5501-4fc8-ad33-094734553056,2023-06-16 20:35:38,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
