land use class,land use class percent,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
Urban; Non-Residential; Commercial,100,50,ESCA_plot,48,239016156,388979cd-152b-415c-b551-00396a9e3067,2023-05-17 23:31:14,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Residential; Single family; Xeric,100,51,ESCA_plot,49,239016198,c155c383-8e81-4f47-9a2d-7173c92081ef,2023-05-17 23:31:31,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Agricultural Land; Cropland; Fallow,100,52,ESCA_plot,50,239288024,ea1d5332-2ba2-471b-b8c3-c87224c311c4,2023-05-18 22:21:45,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Open; Vacant,100,53,ESCA_plot,51,239288084,9b26e65c-d1c4-45d5-9aec-c2a317a996fd,2023-05-18 22:21:58,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Non-Residential; Institutional,50,54,ESCA_plot,52,239288139,8c024dda-bf25-4b40-bde2-cc4da08a2912,2023-05-18 22:22:10,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Open; Vacant,50,55,ESCA_plot,52,239288139,8c024dda-bf25-4b40-bde2-cc4da08a2912,2023-05-18 22:22:10,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Open; Desert,100,56,ESCA_plot,53,239558968,c47853e9-4a5e-4576-b4cc-adbcabcda8fe,2023-05-19 20:26:09,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Open; Vacant; Xeric,100,57,ESCA_plot,54,239558975,5ff14c89-dc5e-43a9-892f-8864ac190bed,2023-05-19 20:26:13,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Open; Desert,100,58,ESCA_plot,55,240183813,ea8e1a60-cdb8-4182-8de8-69098df59a4f,2023-05-22 21:36:20,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Open; Desert,100,59,ESCA_plot,56,240183828,5da3d841-6723-4dab-8d17-cf570e21a6dd,2023-05-22 21:36:24,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Open; Parks,70,60,ESCA_plot,57,240459398,3c71c5be-f4c4-4dc1-8ec7-c976f9b692c0,2023-05-23 22:46:06,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Transportation; Streets,30,61,ESCA_plot,57,240459398,3c71c5be-f4c4-4dc1-8ec7-c976f9b692c0,2023-05-23 22:46:06,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Residential,95,62,ESCA_plot,58,240459430,6becf0f0-eada-4465-863d-c069298587c1,2023-05-23 22:46:32,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Non-Residential; Commercial,5,63,ESCA_plot,58,240459430,6becf0f0-eada-4465-863d-c069298587c1,2023-05-23 22:46:32,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Residential; Single family; Mesic,100,64,ESCA_plot,59,240721028,a7f6a85a-fc6b-4935-bb1b-1871c868c776,2023-05-24 19:32:44,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Open; Desert,100,65,ESCA_plot,60,240721249,ffffaca4-2a0f-47b0-a6e6-06369a4c702e,2023-05-24 19:33:25,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Open; Desert,100,66,ESCA_plot,61,241008493,b8483dbc-66d1-4218-8f18-2de9bec39993,2023-05-25 20:04:18,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Open; Desert,50,67,ESCA_plot,62,241008516,c95a2b90-754a-4284-abe2-8f44848af701,2023-05-25 20:04:28,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Transportation,50,68,ESCA_plot,62,241008516,c95a2b90-754a-4284-abe2-8f44848af701,2023-05-25 20:04:28,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Non-Residential; Institutional,100,69,ESCA_plot,63,241318686,6de33fec-b424-4086-9922-e68c6b948022,2023-05-26 20:26:58,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Non-Residential; Commercial,100,70,ESCA_plot,64,241318701,81c82013-6ae7-4e4c-961d-cf5a59afadbb,2023-05-26 20:27:04,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
