structure type,clinometer distance (m),top of building (degree),base of building (degree),measured height if not using clinometer (m),_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
residential,9.3,,,3.1,45,ESCA_plot,70,242872182,d3a92cdf-fb23-49dd-afba-45ca1c3f04e8,2023-06-01 21:11:38,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,9.9,,,3.2,46,ESCA_plot,70,242872182,d3a92cdf-fb23-49dd-afba-45ca1c3f04e8,2023-06-01 21:11:38,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,8.4,,,18.2,47,ESCA_plot,70,242872182,d3a92cdf-fb23-49dd-afba-45ca1c3f04e8,2023-06-01 21:11:38,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,21.6,,,5.1,48,ESCA_plot,71,242872207,b30c170a-bf8a-490a-9e11-56f124ac1d66,2023-06-01 21:11:46,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,16.6,,,6.5,49,ESCA_plot,72,243103348,db1291ad-7357-45f9-84ac-9baf7adafa86,2023-06-02 20:13:14,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,17.5,,,7.1,50,ESCA_plot,72,243103348,db1291ad-7357-45f9-84ac-9baf7adafa86,2023-06-02 20:13:14,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,21.5,,,4.4,51,ESCA_plot,75,243683772,275e4c7c-4972-4f94-8454-449540b49a66,2023-06-05 20:35:31,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,10,,,3.3,52,ESCA_plot,75,243683772,275e4c7c-4972-4f94-8454-449540b49a66,2023-06-05 20:35:31,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,10,,,4.5,53,ESCA_plot,77,243952818,aabfa064-7fff-4ed1-8b79-01ec854a8e1c,2023-06-06 19:44:29,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,10.2,,,3.7,54,ESCA_plot,77,243952818,aabfa064-7fff-4ed1-8b79-01ec854a8e1c,2023-06-06 19:44:29,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,16,,,2.7,55,ESCA_plot,77,243952818,aabfa064-7fff-4ed1-8b79-01ec854a8e1c,2023-06-06 19:44:29,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,10.2,,,2.8,56,ESCA_plot,77,243952818,aabfa064-7fff-4ed1-8b79-01ec854a8e1c,2023-06-06 19:44:29,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,19.7,,,4.8,57,ESCA_plot,77,243952818,aabfa064-7fff-4ed1-8b79-01ec854a8e1c,2023-06-06 19:44:29,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
institutional,14.2,,,6.1,58,ESCA_plot,79,244537382,60a9e7cc-e7d5-493f-9e3f-69985fa9d883,2023-06-08 21:44:11,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
institutional,8.4,,,3.5,59,ESCA_plot,79,244537382,60a9e7cc-e7d5-493f-9e3f-69985fa9d883,2023-06-08 21:44:11,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
institutional,9.4,,,6.1,60,ESCA_plot,79,244537382,60a9e7cc-e7d5-493f-9e3f-69985fa9d883,2023-06-08 21:44:11,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,19.4,,,3.5,61,ESCA_plot,85,245354346,3370fc10-39ef-42ad-b38c-8a47963c83f9,2023-06-12 21:59:48,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,17.8,,,5.6,62,ESCA_plot,86,245604260,ac05d9ef-7092-4deb-9f23-6f82aea22285,2023-06-13 19:11:41,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
commercial,16.6,,,6.4,63,ESCA_plot,88,245922263,16fc6397-f8bb-4d7d-b4f4-c54f4321f4c2,2023-06-14 21:33:33,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
institutional,12.2,,,4.1,64,ESCA_plot,91,246214056,5bab2453-1ece-4cbf-ab82-2f237ff137ae,2023-06-15 20:14:18,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
institutional,19.7,,,31.9,65,ESCA_plot,93,246489916,eacb6342-86ce-4f43-b267-34efaeb20cf6,2023-06-16 20:35:43,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
