synoptic photo of the parcel,synoptic photo of the parcel_URL,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
1685472499812.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F397f6eec-030c-464d-8b3b-f1894b139a03%2F1685472499812.jpg,25,front_back_yard_repeat,20,242318555,397f6eec-030c-464d-8b3b-f1894b139a03,2023-05-30 23:38:41,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
1685472945024.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F397f6eec-030c-464d-8b3b-f1894b139a03%2F1685472945024.jpg,26,front_back_yard_repeat,21,242318555,397f6eec-030c-464d-8b3b-f1894b139a03,2023-05-30 23:38:41,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
1685482169316.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2Fc7eb0f79-c32d-4889-ab73-adc928afb373%2F1685482169316.jpg,27,front_back_yard_repeat,22,242318670,c7eb0f79-c32d-4889-ab73-adc928afb373,2023-05-30 23:39:21,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
1685482124358.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2Fc7eb0f79-c32d-4889-ab73-adc928afb373%2F1685482124358.jpg,28,front_back_yard_repeat,23,242318670,c7eb0f79-c32d-4889-ab73-adc928afb373,2023-05-30 23:39:21,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
1685560965416.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F2cc9131d-e76f-4c33-8f5e-5c4847aff003%2F1685560965416.jpg,29,front_back_yard_repeat,24,242612625,2cc9131d-e76f-4c33-8f5e-5c4847aff003,2023-05-31 21:54:46,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1685561226328.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F2cc9131d-e76f-4c33-8f5e-5c4847aff003%2F1685561226328.jpg,30,front_back_yard_repeat,25,242612625,2cc9131d-e76f-4c33-8f5e-5c4847aff003,2023-05-31 21:54:46,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1685645661366.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2Fc161652b-ec66-47cb-9a0f-b5f9cc72cc73%2F1685645661366.jpg,31,front_back_yard_repeat,26,242872237,c161652b-ec66-47cb-9a0f-b5f9cc72cc73,2023-06-01 21:11:57,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1685646015419.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2Fc161652b-ec66-47cb-9a0f-b5f9cc72cc73%2F1685646015419.jpg,32,front_back_yard_repeat,27,242872237,c161652b-ec66-47cb-9a0f-b5f9cc72cc73,2023-06-01 21:11:57,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1685646059809.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2Fc161652b-ec66-47cb-9a0f-b5f9cc72cc73%2F1685646059809.jpg,33,front_back_yard_repeat,27,242872237,c161652b-ec66-47cb-9a0f-b5f9cc72cc73,2023-06-01 21:11:57,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1685646104182.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2Fc161652b-ec66-47cb-9a0f-b5f9cc72cc73%2F1685646104182.jpg,34,front_back_yard_repeat,27,242872237,c161652b-ec66-47cb-9a0f-b5f9cc72cc73,2023-06-01 21:11:57,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1685724380716.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F91b2b540-2c2a-434e-b276-edac9d26e10a%2F1685724380716.jpg,35,front_back_yard_repeat,28,243103424,91b2b540-2c2a-434e-b276-edac9d26e10a,2023-06-02 20:13:44,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
1686069709649.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2Fe6ab794b-31bc-4562-af96-5b7fe475d3e1%2F1686069709649.jpg,36,front_back_yard_repeat,29,243952854,e6ab794b-31bc-4562-af96-5b7fe475d3e1,2023-06-06 19:44:38,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1686070016986.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2Fe6ab794b-31bc-4562-af96-5b7fe475d3e1%2F1686070016986.jpg,37,front_back_yard_repeat,30,243952854,e6ab794b-31bc-4562-af96-5b7fe475d3e1,2023-06-06 19:44:38,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1686070024809.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2Fe6ab794b-31bc-4562-af96-5b7fe475d3e1%2F1686070024809.jpg,38,front_back_yard_repeat,30,243952854,e6ab794b-31bc-4562-af96-5b7fe475d3e1,2023-06-06 19:44:38,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1686596958329.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F7b2d2d74-26a6-430a-8979-944b329b9f6f%2F1686596958329.jpg,39,front_back_yard_repeat,31,245354411,7b2d2d74-26a6-430a-8979-944b329b9f6f,2023-06-12 22:00:28,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
1686596963569.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F7b2d2d74-26a6-430a-8979-944b329b9f6f%2F1686596963569.jpg,40,front_back_yard_repeat,31,245354411,7b2d2d74-26a6-430a-8979-944b329b9f6f,2023-06-12 22:00:28,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
1686597143118.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F7b2d2d74-26a6-430a-8979-944b329b9f6f%2F1686597143118.jpg,41,front_back_yard_repeat,32,245354411,7b2d2d74-26a6-430a-8979-944b329b9f6f,2023-06-12 22:00:28,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
