taxa_clean,taxonID,taxonRank,acceptedNameUsageID,taxonomicStatus,update_date,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName
Hedera helix,ITIS:29393,species,ITIS:29393,accepted,2011-07-25,Plantae,NA,Magnoliopsida,Apiales,Araliaceae,Hedera,helix,,English ivy
Wisteria,ITIS:27019,genus,ITIS:27019,accepted,2011-06-29,NA,NA,NA,NA,NA,NA,,,wisteria
Syagrus romanzoffianum,ITIS:522163,species,ITIS:817203,synonym,2011-04-25,Plantae,NA,Magnoliopsida,Arecales,Arecaceae,Syagrus,romanzoffiana,,queen palm
Callistemon viminalis,ITIS:834934,species,ITIS:834934,accepted,2011-10-27,Plantae,NA,Magnoliopsida,Myrtales,Myrtaceae,Callistemon,viminalis,,weeping bottlebrush
Phoenix roebelenii,ITIS:506743,species,ITIS:506743,accepted,2011-04-25,Plantae,NA,Magnoliopsida,Arecales,Arecaceae,Phoenix,roebelenii,,pygmy date palm
Agave americana,ITIS:182660,species,ITIS:182660,accepted,2011-02-24,Plantae,NA,Magnoliopsida,Asparagales,Asparagaceae,Agave,americana,,American century plant
Ricinus communis,ITIS:28393,species,ITIS:28393,accepted,2017-04-25,Plantae,NA,Magnoliopsida,Malpighiales,Euphorbiaceae,Ricinus,communis,,castorbean
Duranta erecta,ITIS:502187,species,ITIS:502187,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Verbenaceae,Duranta,erecta,,golden dewdrops
Pandorea jasminoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Setcreasea pallida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cycas revoluta,ITIS:183258,species,ITIS:183258,accepted,2013-01-29,Plantae,NA,Cycadopsida,Cycadales,Cycadaceae,Cycas,revoluta,,sago palm
Platycladus orientalis,ITIS:183445,species,ITIS:183445,accepted,2011-07-25,Plantae,NA,Pinopsida,Pinales,Cupressaceae,Platycladus,orientalis,,oriental arborvitae
Washingtonia robusta,ITIS:42515,species,ITIS:42515,accepted,2011-04-25,Plantae,NA,Magnoliopsida,Arecales,Arecaceae,Washingtonia,robusta,,Washington fan palm
Ayenia filiformis,ITIS:21569,species,ITIS:21569,accepted,2020-08-28,Plantae,NA,Magnoliopsida,Malvales,Malvaceae,Ayenia,filiformis,,Trans Pecos ayenia
Eremophila maculata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agave geminiflora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agave victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crassulaceae,ITIS:24097,family,ITIS:24097,accepted,2014-12-22,NA,NA,NA,NA,NA,NA,,,stonecrops
Justicia spicigera,ITIS:507036,species,ITIS:507036,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Acanthaceae,Justicia,spicigera,,mohintli
Lantana montevidensis,ITIS:32181,species,ITIS:32181,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Verbenaceae,Lantana,montevidensis,,trailing shrubverbena
