shrub image,shrub image_URL,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
1680205409129.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F0f32d684-231e-46b3-a69e-9c549686c655%2F1680205409129.jpg,30,shrub_measurement_repeat,46,229300469,0f32d684-231e-46b3-a69e-9c549686c655,2023-03-31 20:58:17,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
1680116152544.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2Fadb6b69d-cce1-43c1-b7b1-98e16a5c9662%2F1680116152544.jpg,31,shrub_measurement_repeat,49,229301412,adb6b69d-cce1-43c1-b7b1-98e16a5c9662,2023-03-31 21:03:09,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
1680116223048.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2Fadb6b69d-cce1-43c1-b7b1-98e16a5c9662%2F1680116223048.jpg,32,shrub_measurement_repeat,50,229301412,adb6b69d-cce1-43c1-b7b1-98e16a5c9662,2023-03-31 21:03:09,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
1680116262409.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2Fadb6b69d-cce1-43c1-b7b1-98e16a5c9662%2F1680116262409.jpg,33,shrub_measurement_repeat,51,229301412,adb6b69d-cce1-43c1-b7b1-98e16a5c9662,2023-03-31 21:03:09,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
1680118246640.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2Fadb6b69d-cce1-43c1-b7b1-98e16a5c9662%2F1680118246640.jpg,34,shrub_measurement_repeat,55,229301412,adb6b69d-cce1-43c1-b7b1-98e16a5c9662,2023-03-31 21:03:09,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
1680118297373.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2Fadb6b69d-cce1-43c1-b7b1-98e16a5c9662%2F1680118297373.jpg,35,shrub_measurement_repeat,56,229301412,adb6b69d-cce1-43c1-b7b1-98e16a5c9662,2023-03-31 21:03:09,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
1680284412076.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F04201127-2e3a-405b-99ae-9f2c0732ac67%2F1680284412076.jpg,36,shrub_measurement_repeat,59,229302222,04201127-2e3a-405b-99ae-9f2c0732ac67,2023-03-31 21:11:41,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
1680284650228.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F04201127-2e3a-405b-99ae-9f2c0732ac67%2F1680284650228.jpg,37,shrub_measurement_repeat,60,229302222,04201127-2e3a-405b-99ae-9f2c0732ac67,2023-03-31 21:11:41,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
1680285682062.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F04201127-2e3a-405b-99ae-9f2c0732ac67%2F1680285682062.jpg,38,shrub_measurement_repeat,61,229302222,04201127-2e3a-405b-99ae-9f2c0732ac67,2023-03-31 21:11:41,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
1680285855394.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F04201127-2e3a-405b-99ae-9f2c0732ac67%2F1680285855394.jpg,39,shrub_measurement_repeat,62,229302222,04201127-2e3a-405b-99ae-9f2c0732ac67,2023-03-31 21:11:41,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
1680285865438.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F3bbc49c85ca2432c9e62f2dd83d71c46%2F04201127-2e3a-405b-99ae-9f2c0732ac67%2F1680285865438.jpg,40,shrub_measurement_repeat,62,229302222,04201127-2e3a-405b-99ae-9f2c0732ac67,2023-03-31 21:11:41,,,submitted_via_web,caplter_leia,vQJFcyBBp97S6P34kggpQx,
