synoptic photo of the plot,synoptic photo of the plot_URL,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
1682529109252.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F2c78f527-38d9-4fb0-a066-ea2233a7bf6c%2F1682529109252.jpg,38,ESCA_plot,23,234197091,b50e3fff-a6d7-40d7-beda-b910b7ad6daf,2023-04-26 18:55:43,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1682621226876.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F4b3f94b3-bffc-4fdb-84e2-109d175f656f%2F1682621226876.jpg,39,ESCA_plot,24,234475955,4b3f94b3-bffc-4fdb-84e2-109d175f656f,2023-04-27 23:50:08,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1682621263533.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F4b3f94b3-bffc-4fdb-84e2-109d175f656f%2F1682621263533.jpg,40,ESCA_plot,24,234475955,4b3f94b3-bffc-4fdb-84e2-109d175f656f,2023-04-27 23:50:08,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1682630930377.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F7a53543f-0620-42b6-afd6-a9db8d60d085%2F1682630930377.jpg,41,ESCA_plot,25,234475993,7a53543f-0620-42b6-afd6-a9db8d60d085,2023-04-27 23:50:43,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1682706363874.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F065aa134-ae73-4009-b12d-c79447a457b3%2F1682706363874.jpg,42,ESCA_plot,26,234697077,d2ae038e-37c4-41dc-9e9e-8d158e5d7589,2023-04-28 20:30:56,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1682706420465.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F065aa134-ae73-4009-b12d-c79447a457b3%2F1682706420465.jpg,43,ESCA_plot,26,234697077,d2ae038e-37c4-41dc-9e9e-8d158e5d7589,2023-04-28 20:30:56,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1682956300041.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F2ec4c2e0-4907-4551-b093-fbdc6952952c%2F1682956300041.jpg,44,ESCA_plot,27,235173841,2ec4c2e0-4907-4551-b093-fbdc6952952c,2023-05-01 19:02:42,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1682956355161.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F2ec4c2e0-4907-4551-b093-fbdc6952952c%2F1682956355161.jpg,45,ESCA_plot,27,235173841,2ec4c2e0-4907-4551-b093-fbdc6952952c,2023-05-01 19:02:42,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1682963293133.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F33f20dc2-eff4-4854-a7b4-b46d8267f42e%2F1682963293133.jpg,46,ESCA_plot,28,235173872,33f20dc2-eff4-4854-a7b4-b46d8267f42e,2023-05-01 19:02:54,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1683051155090.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F81668631-a923-447e-82fa-8b72c561d3c2%2F1683051155090.jpg,47,ESCA_plot,29,235419132,81668631-a923-447e-82fa-8b72c561d3c2,2023-05-02 22:51:53,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
